Draw Date,Regular Numbers,,,,,,
30th March 2021,12,22,25,30,37,38,45
26th March 2021,2,4,16,24,25,27,49
23rd March 2021,5,6,12,28,29,36,46
19th March 2021,2,7,8,26,30,43,48
16th March 2021,8,15,25,27,33,39,44
12th March 2021,5,12,15,23,28,38,39
9th March 2021,3,7,16,22,29,31,42
5th March 2021,6,9,23,25,31,36,48
2nd March 2021,9,29,30,36,42,46,49
26th February 2021,11,17,19,22,27,31,40
23rd February 2021,3,13,14,20,30,45,49
19th February 2021,1,5,10,18,20,40,42
16th February 2021,1,6,12,21,34,37,47
12th February 2021,2,5,10,11,14,23,33
9th February 2021,4,12,16,17,33,36,44
5th February 2021,1,2,23,32,35,36,45
2nd February 2021,17,24,27,34,38,42,48
29th January 2021,9,11,20,22,33,36,46
26th January 2021,26,37,42,44,46,49,50
22nd January 2021,11,21,23,25,28,41,43
19th January 2021,23,31,34,38,40,45,50
15th January 2021,5,23,31,35,36,37,43
12th January 2021,4,12,13,15,18,30,50
8th January 2021,4,21,24,25,26,27,42
5th January 2021,1,16,21,24,35,37,39
1st January 2021,18,21,28,29,31,32,49
29th December 2020,8,12,23,25,29,43,46
25th December 2020,8,12,16,30,38,48,50
22nd December 2020,4,29,30,37,38,43,44
18th December 2020,2,9,10,22,31,35,49
15th December 2020,1,4,20,33,44,45,49
11th December 2020,9,21,30,33,38,39,46
8th December 2020,5,13,14,21,36,37,43
4th December 2020,5,7,14,23,24,46,47
1st December 2020,1,4,9,15,18,24,31
27th November 2020,9,15,35,41,42,45,46
24th November 2020,6,8,13,27,41,46,47
20th November 2020,11,17,29,33,39,40,42
17th November 2020,6,18,21,30,31,34,38
13th November 2020,3,4,7,19,44,48,49
10th November 2020,4,6,18,27,28,30,40
6th November 2020,7,9,19,20,26,32,35
3rd November 2020,5,7,14,21,26,34,49
30th October 2020,19,20,23,31,37,46,48
27th October 2020,2,9,11,29,33,39,44
23rd October 2020,2,8,20,21,29,34,37
20th October 2020,8,27,30,44,46,47,50
16th October 2020,1,4,8,10,12,17,41
13th October 2020,3,10,13,19,21,45,49
9th October 2020,4,6,12,30,32,33,34
6th October 2020,4,5,9,19,28,34,44
2nd October 2020,7,12,16,26,40,45,49
29th September 2020,4,6,9,15,22,24,28
25th September 2020,1,7,9,28,38,48,50
22nd September 2020,8,9,37,38,40,43,49
18th September 2020,2,11,22,25,32,40,44
15th September 2020,1,5,6,24,27,28,32
11th September 2020,4,15,16,17,35,46,50
8th September 2020,6,12,19,27,30,32,44
4th September 2020,7,18,22,26,35,41,50
1st September 2020,2,9,29,30,31,35,37
28th August 2020,5,8,9,28,32,48,50
25th August 2020,1,21,34,38,39,40,46
21st August 2020,1,2,5,11,20,30,39
18th August 2020,1,2,16,32,44,46,50
14th August 2020,3,22,37,39,41,43,44
11th August 2020,9,17,22,33,36,45,46
7th August 2020,9,21,26,28,30,37,44
4th August 2020,18,24,25,30,31,33,48
31st July 2020,8,16,19,22,28,31,38
